text,label,label_name,original_text
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me!

### Intent:
reverted_card_payment?<|eot_id|>",31,reverted_card_payment?,"Hello, I was contacted by a seller who let me know my money didn't come through on their side. It most certainly came out of my account so I need this looked at immediately because now it has been returned to me!"
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I'm looking for a machine of yours that will provide me cash from my home country. I went on holiday and don't have any cash on me. Will your machine charge me extra to do this?

### Intent:
wrong_exchange_rate_for_cash_withdrawal<|eot_id|>",44,wrong_exchange_rate_for_cash_withdrawal,I'm looking for a machine of yours that will provide me cash from my home country. I went on holiday and don't have any cash on me. Will your machine charge me extra to do this?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
What am I being charged an extra pound when I haven't bought something worth that much?

### Intent:
extra_charge_on_statement<|eot_id|>",22,extra_charge_on_statement,What am I being charged an extra pound when I haven't bought something worth that much?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How does the exchange rate work on this app?

### Intent:
exchange_rate<|eot_id|>",21,exchange_rate,How does the exchange rate work on this app?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
The card has suffered a security breach.

### Intent:
compromised_card<|eot_id|>",15,compromised_card,The card has suffered a security breach.
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Would I need to pay extra for exchanging currencies?

### Intent:
exchange_charge<|eot_id|>",20,exchange_charge,would I need to pay extra for exchanging currencies?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Was I charged more than I should of been for a currency exchange?

### Intent:
card_payment_wrong_exchange_rate<|eot_id|>",13,card_payment_wrong_exchange_rate,Was I charged more than I should of been for a currency exchange?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I tried to top off using the card, but the money just disappeared?

### Intent:
topping_up_by_card<|eot_id|>",34,topping_up_by_card,"I tried to top off using the card, but the money just disappeared?"
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I need to expedite my card.

### Intent:
card_delivery_estimate<|eot_id|>",9,card_delivery_estimate,i need to expedite my card
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Will there be a cost if I exchange currency?

### Intent:
exchange_charge<|eot_id|>",20,exchange_charge,Will there be a cost if I exchange currency?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Where is the card PIN located?

### Intent:
get_physical_card<|eot_id|>",25,get_physical_card,Where is the card PIN located?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Where do I go to reset my passcode?

### Intent:
passcode_forgotten<|eot_id|>",28,passcode_forgotten,Where do I go to reset my passcode?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How can I check the source for my funds?

### Intent:
verify_source_of_funds<|eot_id|>",39,verify_source_of_funds,How can I check the source for my funds?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I dont know what happened, but my payment was cancelled.

### Intent:
reverted_card_payment?<|eot_id|>",31,reverted_card_payment?,"I dont know what happened, but my payment was cancelled"
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
Do I get a card to keep in my wallet?

### Intent:
order_physical_card<|eot_id|>",27,order_physical_card,Do I get a card to keep in my wallet?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
My card won't work right now.

### Intent:
card_not_working<|eot_id|>",11,card_not_working,My card won't work right now.
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
If I don't have much money in the account can I auto top-up?

### Intent:
automatic_top_up<|eot_id|>",3,automatic_top_up,If I don't have much money in the account can I auto top-up?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I am still waiting for a money transfer to show.

### Intent:
pending_transfer<|eot_id|>",30,pending_transfer,I am still waiting for a money transfer to show
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How long until transfers complete?

### Intent:
pending_transfer<|eot_id|>",30,pending_transfer,How long until transfers complete?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How can I prove who I am?

### Intent:
verify_my_identity<|eot_id|>",38,verify_my_identity,How can I prove who I am?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How do I find out why my card won't work?

### Intent:
card_not_working<|eot_id|>",11,card_not_working,How do I find out why my card won't work?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?

### Intent:
card_about_to_expire<|eot_id|>",6,card_about_to_expire,I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?
"Below is a customer message sent to a bank's support system. Classify the message into exactly one intent category. Output only the intent label, nothing else.

### Message:
How do I link a new card to an existing one?

### Intent:
card_linking<|eot_id|>",10,card_linking,How do I link a new card to an existing one?
